Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,-1,16.31,0,1.45,NaN
SM25_micro000,SM25_micro002,0,14.57,0,1.45,NaN
SM25_micro000,SM25_micro003,-1,9.85,0,1.45,NaN
SM26_micro000,SM26_micro001,-1,6.15,0,1.45,NaN
SM26_micro000,SM26_micro002,0,22.09,0,1.45,NaN
SM26_micro000,SM26_micro003,-1,32.35,0,1.45,NaN
SM27_micro000,SM27_micro001,-1,16.78,0,1.45,NaN
SM28_micro000,SM28_micro001,0,23.52,0,1.45,NaN
SM28_micro000,SM28_micro002,-1,21.92,0,1.45,NaN
SM28_micro000,SM28_micro003,1,9.38,0,1.45,NaN
SM29_micro000,SM29_micro001,-1,15.65,0,1.45,NaN
SM30_micro000,SM30_micro001,-1,14.96,0,1.45,NaN
SM31_micro000,SM31_micro001,-1,14.74,0,1.45,NaN
SM32_micro000,SM32_micro001,-1,16.25,0,1.45,NaN
SM33_micro000,SM33_micro001,-1,14.54,0,1.45,NaN
SM34_micro000,SM34_micro001,-1,14.81,0,1.45,NaN
SM35_micro000,SM35_micro001,-1,13.98,0,1.45,NaN
SM35_micro000,SM35_micro002,0,0,0,1.45,NaN
SM35_micro000,SM35_micro003,-1,13.98,0,1.45,NaN
SM36_micro000,SM36_micro001,-1,12.51,0,1.45,NaN
SM36_micro000,SM36_micro002,0,0,0,1.45,NaN
SM36_micro000,SM36_micro003,-1,12.51,0,1.45,NaN
SM37_micro000,SM37_micro001,1,5.37,0,1.45,NaN
SM37_micro000,SM37_micro002,-1,11.03,0,1.45,NaN
SM37_micro000,SM37_micro003,0,0,0,1.45,NaN
SM37_micro000,SM37_micro004,-1,5.37,0,1.45,NaN
SM37_micro000,SM37_micro005,1,11.03,0,1.45,NaN
SM38_micro000,SM38_micro001,-1,13.36,0,1.45,NaN
SM39_micro000,SM39_micro001,-1,12.04,0,1.45,NaN
SM40_micro000,SM40_micro001,-1,11.23,0,1.45,NaN
SM40_micro000,SM40_micro002,1,8.57,0,1.45,NaN
SM41_micro000,SM41_micro001,-1,6.98,0,1.45,NaN
SM41_micro000,SM41_micro002,1,13.86,0,1.45,NaN
SM42_micro000,SM42_micro001,-1,6.61,0,1.45,NaN
SM42_micro000,SM42_micro002,1,14.25,0,1.45,NaN
SM43_micro000,SM43_micro001,-1,6.02,0,1.45,NaN
SM43_micro000,SM43_micro002,1,9.14,0,1.45,NaN
SM43_micro000,SM43_micro003,2,28.22,0,1.45,NaN
SM44_micro000,SM44_micro001,-1,9.64,0,1.45,NaN
SM44_micro000,SM44_micro002,1,6.19,0,1.45,NaN
SM45_micro000,SM45_micro001,-1,10.02,0,1.45,NaN
SM45_micro000,SM45_micro002,1,7.43,0,1.45,NaN
SM46_micro000,SM46_micro001,-1,7.56,0,1.45,NaN
SM46_micro000,SM46_micro002,1,6.75,0,1.45,NaN
SM46_micro000,SM46_micro003,2,19.79,0,1.45,NaN
SM46_micro000,SM46_micro004,1,11.25,0,1.45,NaN
