Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,-1,16.33,2.22,9.39,NaN
SM25_micro000,SM25_micro002,0,8.09,2.22,4.71,NaN
SM25_micro000,SM25_micro003,-1,8.19,2.22,4.71,NaN
SM26_micro000,SM26_micro001,-1,7.85,2.22,3.42,NaN
SM26_micro000,SM26_micro002,0,-7.79,2.22,4.71,NaN
SM26_micro000,SM26_micro003,-1,0.87,2.22,5.88,NaN
SM27_micro000,SM27_micro001,-1,8.01,2.22,4.71,NaN
SM28_micro000,SM28_micro001,0,-7.82,2.22,4.71,NaN
SM28_micro000,SM28_micro002,-1,8.16,2.22,3.72,NaN
SM28_micro000,SM28_micro003,1,-5.18,2.22,4,NaN
SM29_micro000,SM29_micro001,-1,8.02,2.22,4.71,NaN
SM30_micro000,SM30_micro001,-1,8.06,2.22,4.71,NaN
SM31_micro000,SM31_micro001,-1,8.02,2.22,4.71,NaN
SM31_micro000,SM31_micro002,1,-8.07,2.22,4.7,NaN
SM32_micro000,SM32_micro001,-1,8.02,2.22,4.71,NaN
SM33_micro000,SM33_micro001,-1,8.08,2.22,4.71,NaN
SM34_micro000,SM34_micro001,-1,8.06,2.22,4.71,NaN
SM34_micro000,SM34_micro002,1,-8.05,2.22,4.7,NaN
SM35_micro000,SM35_micro001,-1,8.08,2.22,4.71,NaN
SM35_micro000,SM35_micro002,0,0.03,2.22,6.66,NaN
SM35_micro000,SM35_micro003,-1,8.02,2.22,4.71,NaN
SM36_micro000,SM36_micro001,-1,8.07,2.22,4.71,NaN
SM36_micro000,SM36_micro002,0,0,2.22,6.66,NaN
SM36_micro000,SM36_micro003,-1,8.06,2.22,4.71,NaN
SM37_micro000,SM37_micro001,1,-8.01,2.22,4.69,NaN
SM37_micro000,SM37_micro002,-1,8.1,2.22,4.71,NaN
SM37_micro000,SM37_micro003,0,-0.01,2.22,6.66,NaN
SM37_micro000,SM37_micro004,-1,8.09,2.22,4.71,NaN
SM37_micro000,SM37_micro005,1,-8.07,2.22,4.71,NaN
SM38_micro000,SM38_micro001,-1,8.09,2.22,4.71,NaN
SM39_micro000,SM39_micro001,-1,8.13,2.22,4.71,NaN
SM40_micro000,SM40_micro001,-1,8.14,2.22,4.71,NaN
SM40_micro000,SM40_micro002,1,-8.02,2.22,4.68,NaN
SM41_micro000,SM41_micro001,-1,8.01,2.22,4.59,NaN
SM41_micro000,SM41_micro002,1,-5.81,2.22,4.37,NaN
SM42_micro000,SM42_micro001,-1,8.96,2.22,4.52,NaN
SM42_micro000,SM42_micro002,1,-7.86,2.22,4.69,NaN
SM42_micro000,SM42_micro003,0,0.98,2.22,6.41,NaN
SM43_micro000,SM43_micro001,-1,8.4,2.22,4.6,NaN
SM43_micro000,SM43_micro002,1,-7.99,2.22,4.7,NaN
SM43_micro000,SM43_micro003,2,-15.89,2.22,9.3,NaN
SM44_micro000,SM44_micro001,-1,8.05,2.22,4.59,NaN
SM44_micro000,SM44_micro002,1,-6.67,2.22,4.39,NaN
SM45_micro000,SM45_micro001,-1,8.68,2.22,3.8,NaN
SM45_micro000,SM45_micro002,1,-6.66,2.22,4.42,NaN
SM46_micro000,SM46_micro001,-1,8.19,2.22,4.63,NaN
SM46_micro000,SM46_micro002,1,-6.85,2.22,4.28,NaN
SM46_micro000,SM46_micro003,2,-16.23,2.22,9.39,NaN
