Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,1,-4.64,0.5,0.8,NaN
SM26_micro000,SM26_micro001,1,-7.15,0.5,0.8,NaN
SM27_micro000,SM27_micro001,1,-9.76,0.5,0.8,NaN
SM28_micro000,SM28_micro001,1,-14.41,0.5,0.8,NaN
SM29_micro000,SM29_micro001,1,-8.59,0.5,0.8,NaN
SM30_micro000,SM30_micro001,1,-8.97,0.5,0.8,NaN
SM31_micro000,SM31_micro001,1,-12.63,0.5,0.8,NaN
SM32_micro000,SM32_micro001,1,-9.59,0.5,0.8,NaN
SM33_micro000,SM33_micro001,1,-8.81,0.5,0.8,NaN
SM34_micro000,SM34_micro001,1,-10.58,0.5,0.8,NaN
SM35_micro000,SM35_micro001,1,-10.5,0.5,0.8,NaN
SM36_micro000,SM36_micro001,1,-9.36,0.5,0.8,NaN
SM37_micro000,SM37_micro001,1,-9.97,0.5,0.8,NaN
SM38_micro000,SM38_micro001,1,-6.11,0.5,0.8,NaN
SM39_micro000,SM39_micro001,1,-5.84,0.5,0.8,NaN
SM40_micro000,SM40_micro001,1,-8.76,0.5,0.8,NaN
SM41_micro000,SM41_micro001,1,-10.77,0.5,0.8,NaN
SM42_micro000,SM42_micro001,1,-8.96,0.5,0.8,NaN
SM43_micro000,SM43_micro001,1,-9.73,0.5,0.8,NaN
SM44_micro000,SM44_micro001,1,-9.39,0.5,0.8,NaN
SM45_micro000,SM45_micro001,1,-10.72,0.5,0.8,NaN
SM46_micro000,SM46_micro001,1,-13.38,0.5,0.8,NaN
