Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,-1,10.9,0,0.4,NaN
SM25_micro000,SM25_micro002,0,-13.46,0,0.4,NaN
SM25_micro000,SM25_micro003,-1,-9.16,0,0.4,NaN
SM26_micro000,SM26_micro001,-1,-6.05,0,0.4,NaN
SM26_micro000,SM26_micro002,0,23.13,0,0.4,NaN
SM26_micro000,SM26_micro003,-1,-23.44,0,0.4,NaN
SM27_micro000,SM27_micro001,-1,-13.84,0,0.4,NaN
SM28_micro000,SM28_micro001,0,28.41,0,0.4,NaN
SM28_micro000,SM28_micro002,-1,-19.34,0,0.4,NaN
SM28_micro000,SM28_micro003,1,4.57,0,0.4,NaN
SM29_micro000,SM29_micro001,-1,-12.36,0,0.4,NaN
SM30_micro000,SM30_micro001,-1,-12.86,0,0.4,NaN
SM31_micro000,SM31_micro001,-1,-12.75,0,0.4,NaN
SM32_micro000,SM32_micro001,-1,-12.34,0,0.4,NaN
SM33_micro000,SM33_micro001,-1,-12.44,0,0.4,NaN
SM34_micro000,SM34_micro001,-1,-12.41,0,0.4,NaN
SM35_micro000,SM35_micro001,-1,-11.83,0,0.4,NaN
SM35_micro000,SM35_micro002,0,-1.85,0,0.4,NaN
SM35_micro000,SM35_micro003,-1,-12.97,0,0.4,NaN
SM36_micro000,SM36_micro001,-1,-10.85,0,0.4,NaN
SM36_micro000,SM36_micro002,0,-2.6,0,0.4,NaN
SM36_micro000,SM36_micro003,-1,-10.71,0,0.4,NaN
SM37_micro000,SM37_micro001,1,3.93,0,0.4,NaN
SM37_micro000,SM37_micro002,-1,-8.2,0,0.4,NaN
SM37_micro000,SM37_micro003,0,-1.87,0,0.4,NaN
SM37_micro000,SM37_micro004,-1,-8.2,0,0.4,NaN
SM37_micro000,SM37_micro005,1,3.14,0,0.4,NaN
SM38_micro000,SM38_micro001,-1,-12.72,0,0.4,NaN
SM39_micro000,SM39_micro001,-1,-10.64,0,0.4,NaN
SM40_micro000,SM40_micro001,-1,-10.5,0,0.4,NaN
SM40_micro000,SM40_micro002,1,6.6,0,0.4,NaN
SM41_micro000,SM41_micro001,-1,-7.41,0,0.4,NaN
SM41_micro000,SM41_micro002,1,5.53,0,0.4,NaN
SM42_micro000,SM42_micro001,-1,-1.83,0,0.4,NaN
SM42_micro000,SM42_micro002,1,1.22,0,0.4,NaN
SM43_micro000,SM43_micro001,-1,-2.16,0,0.4,NaN
SM43_micro000,SM43_micro002,1,-8,0,0.4,NaN
SM43_micro000,SM43_micro003,2,25.54,0,0.4,NaN
SM44_micro000,SM44_micro001,-1,-8.97,0,0.4,NaN
SM44_micro000,SM44_micro002,1,4.49,0,0.4,NaN
SM45_micro000,SM45_micro001,-1,-8.59,0,0.4,NaN
SM45_micro000,SM45_micro002,1,3.96,0,0.4,NaN
SM46_micro000,SM46_micro001,-1,-8.49,0,0.4,NaN
SM46_micro000,SM46_micro002,1,3.98,0,0.4,NaN
SM46_micro000,SM46_micro003,2,28.62,0,0.4,NaN
