Molecule Id,ID tag ,total charge,pKa mean,pKa SEM,pKa model uncertainty,SMILES of extra microstate
SM25_micro000,SM25_micro001,-1,-302.8,0,0,NaN
SM26_micro000,SM26_micro001,-1,-304.26,0,0,NaN
SM27_micro000,SM27_micro001,-1,-303.54,0,0,NaN
SM28_micro000,SM28_micro001,0,2.44,0,0,NaN
SM29_micro000,SM29_micro001,-1,-303.29,0,0,NaN
SM30_micro000,SM30_micro001,-1,-315.28,0,0,NaN
SM31_micro000,SM31_micro001,-1,-303.8,0,0,NaN
SM32_micro000,SM32_micro001,-1,-298.44,0,0,NaN
SM33_micro000,SM33_micro001,-1,-301.8,0,0,NaN
SM34_micro000,SM34_micro001,-1,-302.3,0,0,NaN
SM35_micro000,SM35_micro001,-1,-295.74,0,0,NaN
SM36_micro000,SM36_micro001,-1,-297.05,0,0,NaN
SM37_micro000,SM37_micro001,1,210.31,0,0,NaN
SM38_micro000,SM38_micro001,-1,-296.78,0,0,NaN
SM39_micro000,SM39_micro001,-1,-296.99,0,0,NaN
SM40_micro000,SM40_micro001,-1,-296.92,0,0,NaN
SM41_micro000,SM41_micro001,-1,-304.67,0,0,NaN
SM42_micro000,SM42_micro001,-1,-302.42,0,0,NaN
SM43_micro000,SM43_micro001,-1,-303.06,0,0,NaN
SM44_micro000,SM44_micro001,-1,-303.54,0,0,NaN
SM45_micro000,SM45_micro001,-1,-302.66,0,0,NaN
SM46_micro000,SM46_micro001,-1,-304.3,0,0,NaN
SM25_micro000,SM25_micro002,0,-2.33,0,0,NaN
SM26_micro000,SM26_micro002,0,0.45,0,0,NaN
SM28_micro000,SM28_micro002,-1,-297.34,0,0,NaN
SM35_micro000,SM35_micro002,0,-0.13,0,0,NaN
SM36_micro000,SM36_micro002,0,0,0,0,NaN
SM37_micro000,SM37_micro002,-1,-299.5,0,0,NaN
SM40_micro000,SM40_micro002,1,210.08,0,0,NaN
SM41_micro000,SM41_micro002,1,217.75,0,0,NaN
SM42_micro000,SM42_micro002,1,219.72,0,0,NaN
SM43_micro000,SM43_micro002,1,218.66,0,0,NaN
SM44_micro000,SM44_micro002,1,218.37,0,0,NaN
SM45_micro000,SM45_micro002,1,219.23,0,0,NaN
SM46_micro000,SM46_micro002,1,215.55,0,0,NaN
SM25_micro000,SM25_micro003,-1,-302.63,0,0,NaN
SM26_micro000,SM26_micro003,-1,-306.95,0,0,NaN
SM28_micro000,SM28_micro003,1,206.83,0,0,NaN
SM35_micro000,SM35_micro003,-1,-298,0,0,NaN
SM36_micro000,SM36_micro003,-1,-297.05,0,0,NaN
SM37_micro000,SM37_micro003,0,-2.58,0,0,NaN
SM43_micro000,SM43_micro003,2,359.33,0,0,NaN
SM46_micro000,SM46_micro003,2,356,0,0,NaN
SM37_micro000,SM37_micro004,-1,-299.5,0,0,NaN
